time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-01 00:00:00+00:00,18,6,1,1
2026-06-02 00:00:00+00:00,24,8,1,1
2026-06-03 00:00:00+00:00,3,3,0,0
2026-06-04 00:00:00+00:00,19,7,1,1
2026-06-05 00:00:00+00:00,14,6,4,2
2026-06-06 00:00:00+00:00,15,7,0,0
2026-06-07 00:00:00+00:00,21,9,2,1
2026-06-08 00:00:00+00:00,26,10,1,1
2026-06-09 00:00:00+00:00,18,6,0,0
2026-06-10 00:00:00+00:00,13,6,0,0
2026-06-11 00:00:00+00:00,15,7,3,1
2026-06-12 00:00:00+00:00,20,7,1,1
2026-06-13 00:00:00+00:00,26,11,0,0
2026-06-14 00:00:00+00:00,24,6,0,0
