time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-24 00:00:00+00:00,74,29,6,1
2026-04-25 00:00:00+00:00,35,19,13,3
2026-04-26 00:00:00+00:00,1,1,0,0
2026-04-27 00:00:00+00:00,20,8,6,1
2026-04-28 00:00:00+00:00,23,7,0,0
2026-04-29 00:00:00+00:00,15,8,0,0
2026-04-30 00:00:00+00:00,29,10,3,1
2026-05-01 00:00:00+00:00,37,11,0,0
2026-05-02 00:00:00+00:00,44,12,5,1
2026-05-03 00:00:00+00:00,28,11,2,2
2026-05-04 00:00:00+00:00,26,9,2,2
2026-05-05 00:00:00+00:00,40,10,0,0
2026-05-06 00:00:00+00:00,20,8,6,2
2026-05-07 00:00:00+00:00,30,10,3,1
