time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-28 00:00:00+00:00,19,11,7,3
2026-03-29 00:00:00+00:00,12,8,0,0
2026-03-30 00:00:00+00:00,11,7,3,3
2026-03-31 00:00:00+00:00,17,6,0,0
2026-04-01 00:00:00+00:00,20,9,3,1
2026-04-02 00:00:00+00:00,18,10,1,1
2026-04-03 00:00:00+00:00,23,10,1,1
2026-04-04 00:00:00+00:00,24,11,0,0
2026-04-05 00:00:00+00:00,15,8,1,1
2026-04-06 00:00:00+00:00,11,7,0,0
2026-04-07 00:00:00+00:00,17,6,0,0
2026-04-08 00:00:00+00:00,14,6,0,0
2026-04-09 00:00:00+00:00,21,8,5,3
2026-04-10 00:00:00+00:00,18,9,4,4
