time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-08 00:00:00+00:00,14,6,0,0
2026-04-09 00:00:00+00:00,21,8,5,3
2026-04-10 00:00:00+00:00,18,9,4,4
2026-04-11 00:00:00+00:00,14,7,0,0
2026-04-12 00:00:00+00:00,30,9,0,0
2026-04-13 00:00:00+00:00,10,7,2,2
2026-04-14 00:00:00+00:00,11,7,3,2
2026-04-15 00:00:00+00:00,3,3,0,0
2026-04-16 00:00:00+00:00,15,7,2,1
2026-04-17 00:00:00+00:00,17,5,1,1
2026-04-18 00:00:00+00:00,26,11,0,0
2026-04-19 00:00:00+00:00,41,17,5,1
2026-04-20 00:00:00+00:00,44,22,0,0
2026-04-21 00:00:00+00:00,55,25,0,0
